iter	MultiClass
632	0.1927344745
633	0.1925440254
634	0.1921563217
635	0.1920147299
636	0.1917921477
637	0.1915252201
638	0.1911991979
639	0.1907094658
640	0.1904137132
641	0.1901500961
642	0.1898060438
643	0.1895969214
644	0.1894130956
645	0.1891300367
646	0.1888025612
647	0.1883709754
648	0.1880533253
649	0.1876932447
650	0.1875183436
651	0.1873123679
652	0.1871809719
653	0.1868224787
654	0.1865570049
655	0.1862843282
656	0.1859127446
657	0.1856946571
658	0.1854794715
659	0.1853136197
660	0.185132818
661	0.1849856726
662	0.184690588
663	0.1844918106
664	0.1842165072
665	0.1839712395
666	0.1838835667
667	0.1836229293
668	0.1833113968
669	0.1830862689
670	0.1827991392
671	0.1826327087
672	0.1822800799
673	0.1820451071
674	0.1817146662
675	0.1813871349
676	0.1810456894
677	0.180882672
678	0.1806120667
679	0.1804110622
680	0.1801642763
681	0.1798605541
682	0.179658978
683	0.1794588438
684	0.1791430058
685	0.1787190118
686	0.1783830606
687	0.1782003454
688	0.177974367
689	0.1774808855
690	0.1772288935
691	0.1767510945
692	0.1764522568
693	0.1759611776
694	0.1754204509
695	0.1751625282
696	0.1749740409
697	0.1746345769
698	0.1744254989
699	0.1742586951
700	0.1739782238
701	0.1736987663
702	0.1734773564
703	0.1731933729
704	0.1729050025
705	0.172647985
706	0.1724954823
707	0.1722503229
708	0.1718990837
709	0.1716509925
710	0.171410688
711	0.171117217
712	0.1709176741
713	0.1706472297
714	0.1704270795
715	0.1703172341
716	0.1700976841
717	0.169852158
718	0.1695914784
719	0.1693722333
720	0.169184808
721	0.1690535949
722	0.1687532425
723	0.1685068198
724	0.1682502903
725	0.1679023152
726	0.167706039
727	0.1673964266
728	0.1672663578
729	0.167071824
730	0.166816121
731	0.1665649343
732	0.1662911899
733	0.1660422047
734	0.1657517054
735	0.1655337261
736	0.1653970818
737	0.1650906361
738	0.1649044811
739	0.1646453328
740	0.1644507298
741	0.1642260817
742	0.1640118505
743	0.163833716
744	0.1637122868
745	0.1634209454
746	0.1632085549
747	0.1630764337
748	0.1628720636
749	0.1626329142
750	0.1623071988
751	0.1619360662
752	0.1616947774
753	0.1614566272
754	0.1612813289
755	0.1609719376
756	0.1607220928
757	0.1604627091
758	0.1602787171
759	0.160060692
760	0.1597556622
761	0.1594539446
762	0.1591997453
763	0.1589475489
764	0.1584864289
765	0.1583689095
766	0.1581793786
767	0.1580055823
768	0.1577966307
769	0.1574802752
770	0.1573088872
771	0.1570019798
772	0.1568266628
773	0.1566162344
774	0.1564107227
775	0.1562100818
776	0.1560094052
777	0.1558211187
778	0.1556836153
779	0.1553933301
780	0.1551471843
781	0.1549363093
782	0.1547319599
783	0.1544467498
784	0.1542031114
785	0.1539668158
786	0.1537800105
787	0.1536098016
788	0.1533222415
789	0.1530788747
790	0.1529341736
791	0.1527958594
792	0.1526129073
793	0.1523522851
794	0.1522054755
795	0.1520502782
796	0.15186683
797	0.1515735757
798	0.1513049878
799	0.1511939929
800	0.1507988759
801	0.1506059593
802	0.1503626806
803	0.1500907845
804	0.149830581
805	0.1496648971
806	0.1495390335
807	0.1492976016
808	0.1491600529
809	0.1489239174
810	0.148733209
811	0.1485395176
812	0.1483409812
813	0.1481806602
814	0.1479973826
815	0.1478751171
816	0.1477660389
817	0.1476199287
818	0.1474065078
819	0.1472689136
820	0.1471680284
821	0.1469525309
822	0.1467710077
823	0.146570268
824	0.1463141175
825	0.1461627478
826	0.1459445847
827	0.1458070353
828	0.145600561
829	0.1453996757
830	0.1452176472
831	0.1450158161
832	0.1448087003
833	0.1446174566
834	0.1445453789
835	0.1442922757
836	0.1440802247
837	0.1439496925
838	0.1438023989
839	0.1435985819
840	0.1433243848
841	0.1430806306
842	0.1429743323
843	0.1427857791
844	0.1427028187
845	0.1425047704
846	0.1423927581
847	0.1421072443
848	0.1419215564
849	0.1418068414
850	0.1416153901
851	0.141334399
852	0.1411186706
853	0.1408319652
854	0.1406474855
855	0.1404724523
856	0.1403071947
857	0.1401105483
858	0.1399904453
859	0.1398300317
860	0.1395867798
861	0.1393274775
862	0.1390084177
863	0.1389108121
864	0.138804894
865	0.1386958778
866	0.1385171589
867	0.1382389261
868	0.1381213942
869	0.1378888232
870	0.1375470689
871	0.1374463332
872	0.1372253771
873	0.1370425561
874	0.1369477675
875	0.1367457962
876	0.1366620793
877	0.1365255353
878	0.1364039327
879	0.1362765684
880	0.1361677669
881	0.1359868058
882	0.1358984938
883	0.1357586316
884	0.135637324
885	0.1354397657
886	0.135218128
887	0.135122083
888	0.1350404897
889	0.1348936075
890	0.1347183197
891	0.1345495671
892	0.1343777417
893	0.1342587514
894	0.1340877226
895	0.1339668294
896	0.1338315589
897	0.1336964899
898	0.1334967998
899	0.1333355775
900	0.1331104638
